scrip_code,company_name,category,attachment,pdf_url,pdf_url_hist,filing_date,headline,status
500209,Infosys Ltd,board_meetings,Infosys_Technologies_Ltd_300411.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Infosys_Technologies_Ltd_300411.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Infosys_Technologies_Ltd_300411.pdf,2011-04-30T18:11:57,Infosys Ltd - 500209 - Infosys Announces Leadership Succession,pending
524488,SVC INDUSTRIES Ltd,board_meetings,SVC_Superchem_Ltd_300411.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/SVC_Superchem_Ltd_300411.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/SVC_Superchem_Ltd_300411.pdf,2011-04-30T18:11:11,"SVC INDUSTRIES Ltd - 524488 - Outcome of Board Meeting - Status of the project for the quarter ended March 31, 2011",pending
530251,Risa International Ltd,board_meetings,Govindji_Trikamdas_Exports_Ltd_300411.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Govindji_Trikamdas_Exports_Ltd_300411.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Govindji_Trikamdas_Exports_Ltd_300411.pdf,2011-04-30T17:34:41,Risa International Ltd - 530251 - Updates on Outcome of Board Meeting,pending
533026,Chemcel Bio-Tech Ltd,board_meetings,Chemcel_Biotech_Ltd_300411.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Chemcel_Biotech_Ltd_300411.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Chemcel_Biotech_Ltd_300411.pdf,2011-04-30T16:38:55,Chemcel Bio-Tech Ltd - 533026 - Outcome of Board Meeting,pending
502742,Sintex Industries Ltd,board_meetings,Sintex_Industries_Ltd1_300411.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Sintex_Industries_Ltd1_300411.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Sintex_Industries_Ltd1_300411.pdf,2011-04-30T14:23:03,Sintex Industries Ltd - 502742 - Announces FY11 results,pending
530555,Paramount Communications Ltd-$,board_meetings,Paramount_Communications_Ltd_290411.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Paramount_Communications_Ltd_290411.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Paramount_Communications_Ltd_290411.pdf,2011-04-29T20:17:11,"Paramount Communications Ltd-$ - 530555 - Board Meeting on May 13, 2011",pending
532432,United Spirits Ltd,board_meetings,United_Spirits_Ltd_290411.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/United_Spirits_Ltd_290411.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/United_Spirits_Ltd_290411.pdf,2011-04-29T19:04:22,United Spirits Ltd - 532432 - Announces Q4 & FY 11 Results,pending
500113,Steel Authority of India Ltd,board_meetings,Steel_Authority_of_India_Ltd_290411.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Steel_Authority_of_India_Ltd_290411.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Steel_Authority_of_India_Ltd_290411.pdf,2011-04-29T18:20:02,Steel Authority of India Ltd - 500113 - Announces Q4 & FY 11 Results,pending
531590,Bilpower Ltd,board_meetings,Bilpower_Ltd_140511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Bilpower_Ltd_140511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Bilpower_Ltd_140511.pdf,2011-05-14T19:47:24,Bilpower Ltd - 531590 - Outcome of Board Meeting,pending
532667,Suzlon Energy Ltd,board_meetings,Suzlon_Energy_Ltd_140511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Suzlon_Energy_Ltd_140511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Suzlon_Energy_Ltd_140511.pdf,2011-05-14T19:05:35,Suzlon Energy Ltd - 532667 - Announces Q4 & FY 11 Results,pending
533321,Bil Energy Systems Ltd,board_meetings,Bil_Energy_Systems_Ltd_140511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Bil_Energy_Systems_Ltd_140511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Bil_Energy_Systems_Ltd_140511.pdf,2011-05-14T18:17:28,Bil Energy Systems Ltd - 533321 - Outcome of Board Meeting,pending
508998,Sterling International Enterprises Ltd-$,board_meetings,SIEL1_140511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/SIEL1_140511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/SIEL1_140511.pdf,2011-05-14T16:39:26,Sterling International Enterprises Ltd-$ - 508998 - Announces Q3 Results,pending
531453,Mohit Industries Ltd-$,board_meetings,Mohit_Industries_Ltd_140511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Mohit_Industries_Ltd_140511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Mohit_Industries_Ltd_140511.pdf,2011-05-14T15:55:52,Mohit Industries Ltd-$ - 531453 - Rectified Outcome of Board Meeting,pending
532627,Jaiprakash Power Ventures Ltd,board_meetings,Jaiprakash_Power_Ventures_Ltd1_14051.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Jaiprakash_Power_Ventures_Ltd1_14051.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Jaiprakash_Power_Ventures_Ltd1_14051.pdf,2011-05-14T13:39:27,Jaiprakash Power Ventures Ltd - 532627 - Announces Q4 & FY11 Results,pending
522275,GE Vernova T&D India Ltd,board_meetings,Areva_T&D_India_Ltd_14051.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Areva_T&D_India_Ltd_14051.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Areva_T&D_India_Ltd_14051.pdf,2011-05-14T09:45:52,GE Vernova T&D India Ltd - 522275 - Announces Q1 Results,pending
526015,Kemrock Industries and Exports Ltd,board_meetings,Kemrock_Industries_and_Exports_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Kemrock_Industries_and_Exports_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Kemrock_Industries_and_Exports_Ltd_300511.pdf,2011-05-30T20:21:29,Kemrock Industries and Exports Ltd - 526015 - Outcome of Board Meeting,pending
523598,Shipping Corporation of India Ltd,board_meetings,Shipping_Corporation_of_India_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Shipping_Corporation_of_India_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Shipping_Corporation_of_India_Ltd_300511.pdf,2011-05-30T20:08:39,Shipping Corporation of India Ltd - 523598 - Announces Q4 & FY11 results,pending
532885,Central Bank of India,board_meetings,Central_Bank_of_India1_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Central_Bank_of_India1_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Central_Bank_of_India1_300511.pdf,2011-05-30T19:49:13,Central Bank of India - 532885 - Announces Consolidated FY 11 Results,pending
500480,Cummins India Ltd,board_meetings,Cummins_India_Ltd1_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Cummins_India_Ltd1_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Cummins_India_Ltd1_300511.pdf,2011-05-30T18:18:50,Cummins India Ltd - 500480 - Announces Q4 & FY 11 Results,pending
532514,Indraprastha Gas Ltd,board_meetings,Indraprastha_Gas_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Indraprastha_Gas_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Indraprastha_Gas_Ltd_300511.pdf,2011-05-30T18:12:49,Indraprastha Gas Ltd - 532514 - Announces Q4 & FY 11 Results,pending
532712,Reliance Communications Ltd,board_meetings,Reliance_Communications_Ltd2_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Reliance_Communications_Ltd2_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Reliance_Communications_Ltd2_300511.pdf,2011-05-30T18:07:03,Reliance Communications Ltd - 532712 - Announces Standalone FY 11 Results,pending
500303,Aditya Birla Nuvo Ltd,board_meetings,Aditya_Birla_Nuvo_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Aditya_Birla_Nuvo_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Aditya_Birla_Nuvo_Ltd_300511.pdf,2011-05-30T18:00:04,Aditya Birla Nuvo Ltd - 500303 - Announces Q4 & FY11 results,pending
517059,Salzer Electronics Ltd-$,board_meetings,Salzer_Electronics_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Salzer_Electronics_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Salzer_Electronics_Ltd_300511.pdf,2011-05-30T17:52:34,Salzer Electronics Ltd-$ - 517059 - Outcome of Board Meeting,pending
523207,Kokuyo Camlin Ltd-$,board_meetings,Camlin_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Camlin_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Camlin_Ltd_300511.pdf,2011-05-30T17:47:19,Kokuyo Camlin Ltd-$ - 523207 - Outcome of Board Meeting,pending
500312,Oil and Natural Gas Corporation Ltd,board_meetings,Oil_&_Natural_Gas_Corporation_Ltd1_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Oil_&_Natural_Gas_Corporation_Ltd1_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Oil_&_Natural_Gas_Corporation_Ltd1_300511.pdf,2011-05-30T17:42:06,Oil and Natural Gas Corporation Ltd - 500312 - Announces Q4 & FY11 results,pending
523630,National Fertilizers Ltd,board_meetings,National_Fertilizers_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/National_Fertilizers_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/National_Fertilizers_Ltd_300511.pdf,2011-05-30T17:27:06,National Fertilizers Ltd - 523630 - Announces FY 11 Results,pending
500164,Godrej Industries Ltd,board_meetings,Godrej_Industries_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Godrej_Industries_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Godrej_Industries_Ltd_300511.pdf,2011-05-30T17:15:03,Godrej Industries Ltd - 500164 - Announces Q4 & FY11 results,pending
533106,Oil India Ltd,board_meetings,Oil_India_Ltd1_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Oil_India_Ltd1_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Oil_India_Ltd1_300511.pdf,2011-05-30T17:14:48,Oil India Ltd - 533106 - Announces Q4 & FY11 Results,pending
532712,Reliance Communications Ltd,board_meetings,Reliance_Communications_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Reliance_Communications_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Reliance_Communications_Ltd_300511.pdf,2011-05-30T17:08:49,Reliance Communications Ltd - 532712 - Announces Consolidated FY11 results,pending
500111,Reliance Capital Ltd,board_meetings,Reliance_Capital_Ltd2_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Reliance_Capital_Ltd2_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Reliance_Capital_Ltd2_300511.pdf,2011-05-30T16:48:23,Reliance Capital Ltd - 500111 - Announces Standalone FY 11 Results,pending
500111,Reliance Capital Ltd,board_meetings,Reliance_Capital_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Reliance_Capital_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Reliance_Capital_Ltd_300511.pdf,2011-05-30T16:26:39,Reliance Capital Ltd - 500111 - Announces Consolidated FY 11 Results,pending
532234,National Aluminium Company Ltd,board_meetings,National_Aluminium_Company_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/National_Aluminium_Company_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/National_Aluminium_Company_Ltd_300511.pdf,2011-05-30T16:22:36,National Aluminium Company Ltd - 532234 - Announces Q4 & FY11 results,pending
500830,Colgate Palmolive (India) Ltd,board_meetings,Colgate_Palmolive_(India)_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Colgate_Palmolive_(India)_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Colgate_Palmolive_(India)_Ltd_300511.pdf,2011-05-30T15:15:56,Colgate Palmolive (India) Ltd - 500830 - Announces Q4 & FY11 results,pending
530965,Indian Oil Corporation Ltd,board_meetings,Indian_Oil_Corporation_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Indian_Oil_Corporation_Ltd_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Indian_Oil_Corporation_Ltd_300511.pdf,2011-05-30T14:52:30,Indian Oil Corporation Ltd - 530965 - Announces Q4 & FY11 results,pending
500520,Mahindra & Mahindra Ltd,board_meetings,Mahindra_&_Mahindra_Ltd3_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Mahindra_&_Mahindra_Ltd3_300511.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Mahindra_&_Mahindra_Ltd3_300511.pdf,2011-05-30T14:40:51,Mahindra & Mahindra Ltd - 500520 - Outcome of Board Meeting,pending
531338,Milestone Global Ltd,board_meetings,Milestone_Global_Ltd_140611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Milestone_Global_Ltd_140611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Milestone_Global_Ltd_140611.pdf,2011-06-14T12:33:13,Milestone Global Ltd - 531338 - Outcome of Board Meeting,pending
526441,Vision Cinemas Ltd,board_meetings,Vision_Technology_India_Ltd_130611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Vision_Technology_India_Ltd_130611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Vision_Technology_India_Ltd_130611.pdf,2011-06-13T18:02:22,Vision Cinemas Ltd - 526441 - Outcome of Board Meeting,pending
532822,Vodafone Idea Ltd,board_meetings,Idea_Cellular_Ltd1_130611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Idea_Cellular_Ltd1_130611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Idea_Cellular_Ltd1_130611.pdf,2011-06-13T17:34:59,Vodafone Idea Ltd - 532822 - Announces Consolidated Q4 & FY11 Results,pending
532822,Vodafone Idea Ltd,board_meetings,Idea_Cellular_Ltd_130611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Idea_Cellular_Ltd_130611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Idea_Cellular_Ltd_130611.pdf,2011-06-13T17:33:08,Vodafone Idea Ltd - 532822 - Announces Standalone Q4 & FY11 Results,pending
530157,Riverdale Foods Ltd,board_meetings,Riverdale_Foods_Ltd_130611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Riverdale_Foods_Ltd_130611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Riverdale_Foods_Ltd_130611.pdf,2011-06-13T09:18:22,"Riverdale Foods Ltd - 530157 - Board Meeting on Jun 20, 2011",pending
530165,Kanchan International Ltd,board_meetings,Kanchan_International_Ltd_100611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Kanchan_International_Ltd_100611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Kanchan_International_Ltd_100611.pdf,2011-06-10T20:16:41,Kanchan International Ltd - 530165 - Outcome of Board Meeting,pending
533268,Sea TV Network Ltd,board_meetings,Sea_TV_Network_Ltd_100611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Sea_TV_Network_Ltd_100611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Sea_TV_Network_Ltd_100611.pdf,2011-06-10T18:32:15,Sea TV Network Ltd - 533268 - Outcome of Board Meeting,pending
530519,Interface Financial Services Ltd,board_meetings,Interface_Financial_Services_Ltd_100611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Interface_Financial_Services_Ltd_100611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Interface_Financial_Services_Ltd_100611.pdf,2011-06-10T09:23:08,Interface Financial Services Ltd - 530519 - Outcome of Board Meeting,pending
500087,Cipla Ltd,board_meetings,Cipla_Ltd_290611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Cipla_Ltd_290611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Cipla_Ltd_290611.pdf,2011-06-29T17:03:20,Cipla Ltd - 500087 - Announces Audited FY 11 results,pending
526263,Mold-Tek Technologies Ltd,board_meetings,Mold_Tek_Technologies_Ltd_290611.jpg,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Mold_Tek_Technologies_Ltd_290611.jpg,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Mold_Tek_Technologies_Ltd_290611.jpg,2011-06-29T16:47:56,Mold-Tek Technologies Ltd - 526263 - Outcome of Board Meeting,pending
500049,Bharat Electronics Ltd,board_meetings,Bharat_Electronics_Ltd_290611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Bharat_Electronics_Ltd_290611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Bharat_Electronics_Ltd_290611.pdf,2011-06-29T14:56:59,Bharat Electronics Ltd - 500049 - Announces Audited FY11 results,pending
533090,Landsmill Green Ltd,board_meetings,Excel_Infoways_Ltd_280611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/Excel_Infoways_Ltd_280611.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/Excel_Infoways_Ltd_280611.pdf,2011-06-28T12:45:07,Landsmill Green Ltd - 533090 - Outcome of Board Meeting,pending
